id,pagerank
ID: 69, PageRank: [0.00083333]
ID: 76, PageRank: [0.00083333]
ID: 78, PageRank: [0.00083333]
ID: 81, PageRank: [0.00083333]
ID: 83, PageRank: [0.00083333]
ID: 86, PageRank: [0.00083333]
ID: 87, PageRank: [0.00083333]
ID: 88, PageRank: [0.00083333]
ID: 179, PageRank: [0.00083333]
ID: 94, PageRank: [0.00083333]
ID: 95, PageRank: [0.00083333]
ID: 90, PageRank: [0.00083333]
